exchange,quote_asset,volume_bucket,cap_bucket,symbol,base_symbol,market_cap,source_file
binance,USDT,1M-5M,100M-500M,BINANCE:ENSUSDT.P,ENS,172578535,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:ETHFIUSDT,ETHFI,405778598,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:ETHFIUSDT.P,ETHFI,405778598,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:FARTCOINUSDT.P,FARTCOIN,161177687,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:FDUSDUSDT,FDUSD,347179264,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:FETUSDT,FET,377996458,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:FETUSDT.P,FET,377996458,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:FFUSDT,FF,175959563,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:FFUSDT.P,FF,175959563,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:FLOKIUSDT,FLOKI,224242725,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:GALAUSDT,GALA,108292871,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:GALAUSDT.P,GALA,108292871,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:GENIUSUSDT.P,GENIUS,127521793,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:GRASSUSDT.P,GRASS,340464330,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:GRTUSDT.P,GRT,194621559,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:GWEIUSDT.P,GWEI,277551849,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:HUSDT.P,H,136969480,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:IMXUSDT,IMX,117182748,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:IMXUSDT.P,IMX,117182748,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:INJUSDT,INJ,476291498,binance_USDT_pairs_07-jul-26.txt
